Statistical profiling result from isolate-0x103000000-v8.log, (2732 ticks, 192 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~scanEndOfLine /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-lexer/index.js:197:27
      1    0.0%    0.0%  LazyCompile: ~runPlugin /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-parser/index.js:171:22
      1    0.0%    0.0%  LazyCompile: ~runCallback timers.js:802:21
      1    0.0%    0.0%  LazyCompile: ~resp.hasHeader /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/caseless/index.js:56:29
      1    0.0%    0.0%  LazyCompile: ~require internal/module.js:8:19
      1    0.0%    0.0%  LazyCompile: ~readWord1 /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:1469:53
      1    0.0%    0.0%  LazyCompile: ~read /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-load/index.js:68:26
      1    0.0%    0.0%  LazyCompile: ~pushValueToArray bootstrap_node.js:249:30
      1    0.0%    0.0%  LazyCompile: ~pug_classes_array /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-runtime/index.js:63:27
      1    0.0%    0.0%  LazyCompile: ~pug_attr /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-runtime/index.js:128:18
      1    0.0%    0.0%  LazyCompile: ~process_params /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/express/lib/router/index.js:327:47
      1    0.0%    0.0%  LazyCompile: ~pp.expect /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:596:23
      1    0.0%    0.0%  LazyCompile: ~pp.checkPatternErrors /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:630:33
      1    0.0%    0.0%  LazyCompile: ~pp.canInsertSemicolon /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/is-expression/node_modules/acorn/dist/acorn.js:582:33
      1    0.0%    0.0%  LazyCompile: ~pp.canInsertSemicolon /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:582:33
      1    0.0%    0.0%  LazyCompile: ~pp$7.readWord1 /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/is-expression/node_modules/acorn/dist/acorn.js:3304:26
      1    0.0%    0.0%  LazyCompile: ~pp$7.readWord1 /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:3304:26
      1    0.0%    0.0%  LazyCompile: ~pp$7.readWord /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/is-expression/node_modules/acorn/dist/acorn.js:3337:25
      1    0.0%    0.0%  LazyCompile: ~pp$7.readWord /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:3080:27
      1    0.0%    0.0%  LazyCompile: ~pp$7.readToken_plus_min /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:2896:35
      1    0.0%    0.0%  LazyCompile: ~pp$7.readString /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/is-expression/node_modules/acorn/dist/acorn.js:3182:27
      1    0.0%    0.0%  LazyCompile: ~pp$7.readString /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:2925:29
      1    0.0%    0.0%  LazyCompile: ~pp$7.readNumber /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:2875:29
